Approach,Reduction,Method,Silhouette,DaviesBouldin,CalinskiHarabasz,Dunn,SDIndex,XieBeni,n_clusters,ARI,NMI,Homogeneity,Completeness,VMeasure,FMI,Purity
Feature-Based,TCNA,Spectral,0.17510734953891555,2.067701313312671,67.78964878568152,0.08976938998235472,0.9723434070392935,8.739377747126007,6,0.764009924207251,0.8432930432907155,0.8129440600194924,0.8759958895313406,0.8432930432907155,0.8131892855895907,0.8155619596541787
Feature-Based,TCNA,Birch,0.13992876475173754,2.2136336102383303,85.30972869864985,0.07616779959092895,1.028563115413481,7.961004796155265,6,0.964609510118547,0.9589488879442541,0.9591044952059175,0.9587933311665416,0.9589488879442541,0.9709133458522905,0.9827089337175793
Feature-Based,TCNA,Affinity,0.10806613196572692,2.0040408980921502,70.34415794808602,0.0698768151065703,0.8247846278580465,12.158464960700904,9,0.7868387550715195,0.8975637514075434,0.9848629796174374,0.8244809452845403,0.8975637514075433,0.8308162751446462,0.9942363112391931
Feature-Based,TCNA,DBSCAN,0.1446312828117922,1.198137287712385,6.481755887038424,0.16690265036053337,1.1981372877123844,6.329753918838791,2,0.003312531471615332,0.031202238208072955,0.016271370394965245,0.37874091546468097,0.03120223820807295,0.4193852484240505,0.01440922190201729
Feature-Based,TCNA,OPTICS,-0.028169074207809622,1.8708851148949683,24.60354506968784,0.058143713073015295,0.8988556731832025,13.012492900897223,14,0.337150010773665,0.6420833772498815,0.7581459935671518,0.5568384187641688,0.6420833772498815,0.4406485062566534,0.7262247838616714
Feature-Based,TCNA,HDBSCAN,0.13056433025779804,2.4389582977593967,71.60510879375468,0.08144051960085552,1.28924493157754,7.681200850253342,7,0.6690217428539832,0.8073216517923946,0.7901433408979918,0.8252635014077754,0.8073216517923947,0.7428730887813954,0.7665706051873199
Feature-Based,TCNA,SOM,0.04868778125665397,1.5884631860645415,18.133152228116902,0.05128276234598773,0.6315644389729195,8.087473715167771,61,0.16432524768041515,0.6068585383693688,0.9818181081585853,0.43914689322049755,0.6068585383693688,0.3236270584314486,0.9884726224783862
Time-Series,-,Euclidean_KMeans,0.106523105293819,2.0746870319278914,39.99945519926991,0.1335004478014903,1.484137740903321,10.83109661084861,6,0.3795558215658315,0.5991481315255545,0.5671126498499793,0.6350195910646127,0.5991481315255545,0.516620646994896,0.6080691642651297
Time-Series,-,DTW_KMeans,0.10375228045890215,6.090489964901256,28.717235204972294,0.13298442527975018,1.3979757579071037,58.43575376371089,6,0.9390279510738464,0.9519280923448815,0.9489468402509997,0.9549281355325591,0.9519280923448815,0.9500329097990453,0.9654178674351584
Time-Series,-,SoftDTW_KMeans,0.0922823673307894,6.04325355293057,26.959295038293966,0.0701008219339535,1.2766409279910287,44.836117239898066,6,0.8341681286942711,0.9123009095074693,0.8864764540556946,0.9396751260716621,0.9123009095074693,0.8689028629632363,0.8645533141210374
Time-Series,-,KShape,0.08811943246840268,5.253931503127366,6.794771593555504,0.19117878291995213,3.982208603865048,35.18623982687426,6,0.14985362647462652,0.4118961330399071,0.356559747961496,0.4875637134428636,0.41189613303990713,0.3845591333620176,0.49855907780979825
Time-Series,-,DBA_KMeans,0.10375228045890215,6.090489964901256,28.717235204972294,0.13298442527975018,1.3979757579071037,58.43575376371089,6,0.9390279510738464,0.9519280923448815,0.9489468402509997,0.9549281355325591,0.9519280923448815,0.9500329097990453,0.9654178674351584
